DATE,LMO_Detailed_Industry,Employment
1997-02-01,"Legal, accounting, design, research, and advertising services",19250
1997-02-01,Local and Indigenous public administration,750
1997-02-01,Machinery manufacturing,7250
1997-02-01,"Management, scientific and technical consulting services",15250
1997-02-01,Mining,10250
1997-02-01,Motion picture and sound recording industries,4000
1997-02-01,Motor vehicle and parts dealers,27500
1997-02-01,Nursing and residential care facilities,27000
1997-02-01,Oil and gas extraction,1000
1997-02-01,Other manufacturing,1500
1997-02-01,Other retail trade (excluding cars and personal care) ,13250
1997-02-01,Paper manufacturing,19500
1997-02-01,"Performing arts, spectator sports and related industries",12250
1997-02-01,"Postal service, couriers and messengers",9000
1997-02-01,Primary metal manufacturing,12250
1997-02-01,Private and trades education,3750
1997-02-01,Provincial and territorial public administration,37750
1997-02-01,Publishing industries,6250
1997-02-01,Rail transportation,5250
1997-02-01,Real estate rental and leasing,50500
1997-02-01,"Repair, personal and non-profit services",90250
1997-02-01,Ship and boat building,3500
1997-02-01,Social assistance,53500
1997-02-01,Support activities for agriculture and forestry,12000
1997-02-01,Support activities for mining and oil and gas extraction,3250
1997-02-01,Support activities for transportation,12250
1997-02-01,Telecommunications,20750
1997-02-01,"Transit, sightseeing, and pipeline transportation",0
1997-02-01,Transportation equipment manufacturing (excluding shipbuilding),2750
1997-02-01,Truck transportation,26750
1997-02-01,Universities,17500
1997-02-01,Utilities,9750
1997-02-01,Warehousing and storage,6000
1997-02-01,Water transportation,9750
1997-02-01,Wholesale trade,63250
1997-02-01,Wood product manufacturing,45500
1997-03-01,Accommodation services,27750
1997-03-01,Air transportation,14250
1997-03-01,Ambulatory health care services,42750
1997-03-01,"Amusement, gambling and recreation industries",20750
1997-03-01,"Architectural, engineering and related services",29250
1997-03-01,"Broadcasting, data processing, and information",6500
1997-03-01,"Business, building and other support services",55500
1997-03-01,Community colleges,10250
1997-03-01,Computer systems design and related services,19500
1997-03-01,Construction,116750
1997-03-01,Elementary and secondary schools,81000
1997-03-01,Fabricated metal product manufacturing,9750
1997-03-01,Farms,13250
1997-03-01,Federal government public administration,31250
1997-03-01,Finance,45000
1997-03-01,"Fishing, hunting and trapping",5750
1997-03-01,Food services and drinking places,106000
1997-03-01,"Food, beverage and tobacco manufacturing",3750
1997-03-01,Forestry and logging,21000
1997-03-01,Health and personal care stores,11750
1997-03-01,Heritage institutions,2250
1997-03-01,Hospitals,62250
1997-03-01,Insurance carriers and related activities,25750
1997-03-01,"Legal, accounting, design, research, and advertising services",22000
1997-03-01,Local and Indigenous public administration,1250
1997-03-01,Machinery manufacturing,7000
1997-03-01,"Management, scientific and technical consulting services",11250
1997-03-01,Mining,10000
1997-03-01,Motion picture and sound recording industries,7000
1997-03-01,Motor vehicle and parts dealers,24500
1997-03-01,Nursing and residential care facilities,26000
1997-03-01,Oil and gas extraction,750
1997-03-01,Other manufacturing,500
1997-03-01,Other retail trade (excluding cars and personal care) ,12000
1997-03-01,Paper manufacturing,19250
1997-03-01,"Performing arts, spectator sports and related industries",12750
1997-03-01,"Postal service, couriers and messengers",7500
1997-03-01,Primary metal manufacturing,10500
1997-03-01,Private and trades education,3500
1997-03-01,Provincial and territorial public administration,36750
1997-03-01,Publishing industries,8000
1997-03-01,Rail transportation,5000
1997-03-01,Real estate rental and leasing,48000
1997-03-01,"Repair, personal and non-profit services",95500
1997-03-01,Ship and boat building,4750
1997-03-01,Social assistance,52250
1997-03-01,Support activities for agriculture and forestry,13000
1997-03-01,Support activities for mining and oil and gas extraction,4000
1997-03-01,Support activities for transportation,12750
1997-03-01,Telecommunications,18750
1997-03-01,"Transit, sightseeing, and pipeline transportation",500
1997-03-01,Transportation equipment manufacturing (excluding shipbuilding),2000
1997-03-01,Truck transportation,28750
1997-03-01,Universities,19500
1997-03-01,Utilities,9500
1997-03-01,Warehousing and storage,7000
1997-03-01,Water transportation,10500
1997-03-01,Wholesale trade,65250
1997-03-01,Wood product manufacturing,52750
1997-04-01,Accommodation services,29750
1997-04-01,Air transportation,15750
1997-04-01,Ambulatory health care services,40750
1997-04-01,"Amusement, gambling and recreation industries",22250
1997-04-01,"Architectural, engineering and related services",27750
1997-04-01,"Broadcasting, data processing, and information",8000
1997-04-01,"Business, building and other support services",61000
1997-04-01,Community colleges,11750
1997-04-01,Computer systems design and related services,18500
1997-04-01,Construction,125500
1997-04-01,Elementary and secondary schools,81000
1997-04-01,Fabricated metal product manufacturing,10000
1997-04-01,Farms,15000
1997-04-01,Federal government public administration,32250
1997-04-01,Finance,48250
1997-04-01,"Fishing, hunting and trapping",3500
1997-04-01,Food services and drinking places,105000
1997-04-01,"Food, beverage and tobacco manufacturing",2750
1997-04-01,Forestry and logging,20250
1997-04-01,Health and personal care stores,12750
1997-04-01,Heritage institutions,1250
1997-04-01,Hospitals,68000
1997-04-01,Insurance carriers and related activities,27250
1997-04-01,"Legal, accounting, design, research, and advertising services",19750
1997-04-01,Local and Indigenous public administration,750
1997-04-01,Machinery manufacturing,8250
1997-04-01,"Management, scientific and technical consulting services",12000
1997-04-01,Mining,7000
1997-04-01,Motion picture and sound recording industries,7500
1997-04-01,Motor vehicle and parts dealers,24250
1997-04-01,Nursing and residential care facilities,28000
1997-04-01,Oil and gas extraction,1000
1997-04-01,Other manufacturing,1250
1997-04-01,Other retail trade (excluding cars and personal care) ,12250
1997-04-01,Paper manufacturing,19000
1997-04-01,"Performing arts, spectator sports and related industries",11250
1997-04-01,"Postal service, couriers and messengers",6000
1997-04-01,Primary metal manufacturing,9750
1997-04-01,Private and trades education,2500
1997-04-01,Provincial and territorial public administration,34000
1997-04-01,Publishing industries,9750
1997-04-01,Rail transportation,6000
1997-04-01,Real estate rental and leasing,43500
1997-04-01,"Repair, personal and non-profit services",89750
1997-04-01,Ship and boat building,5000
1997-04-01,Social assistance,49750
1997-04-01,Support activities for agriculture and forestry,12250
1997-04-01,Support activities for mining and oil and gas extraction,4500
1997-04-01,Support activities for transportation,12000
1997-04-01,Telecommunications,21000
1997-04-01,"Transit, sightseeing, and pipeline transportation",750
1997-04-01,Transportation equipment manufacturing (excluding shipbuilding),1750
1997-04-01,Truck transportation,27500
1997-04-01,Universities,17000
1997-04-01,Utilities,10000
1997-04-01,Warehousing and storage,7750
1997-04-01,Water transportation,8500
1997-04-01,Wholesale trade,64750
1997-04-01,Wood product manufacturing,51750
1997-05-01,Accommodation services,34000
1997-05-01,Air transportation,17750
1997-05-01,Ambulatory health care services,46750
1997-05-01,"Amusement, gambling and recreation industries",24000
1997-05-01,"Architectural, engineering and related services",29750
1997-05-01,"Broadcasting, data processing, and information",6250
1997-05-01,"Business, building and other support services",60500
1997-05-01,Community colleges,10750
1997-05-01,Computer systems design and related services,17250
1997-05-01,Construction,123750
1997-05-01,Elementary and secondary schools,82000
1997-05-01,Fabricated metal product manufacturing,10500
1997-05-01,Farms,15500
1997-05-01,Federal government public administration,35000
1997-05-01,Finance,47250
1997-05-01,"Fishing, hunting and trapping",6000
1997-05-01,Food services and drinking places,105250
1997-05-01,"Food, beverage and tobacco manufacturing",3750
1997-05-01,Forestry and logging,18250
1997-05-01,Health and personal care stores,15250
1997-05-01,Heritage institutions,2000
1997-05-01,Hospitals,71000
1997-05-01,Insurance carriers and related activities,28000
1997-05-01,"Legal, accounting, design, research, and advertising services",19750
1997-05-01,Local and Indigenous public administration,1250
1997-05-01,Machinery manufacturing,8000
1997-05-01,"Management, scientific and technical consulting services",13750
1997-05-01,Mining,8250
1997-05-01,Motion picture and sound recording industries,7500
1997-05-01,Motor vehicle and parts dealers,24500
1997-05-01,Nursing and residential care facilities,28000
1997-05-01,Oil and gas extraction,2000
1997-05-01,Other manufacturing,2000
1997-05-01,Other retail trade (excluding cars and personal care) ,12500
1997-05-01,Paper manufacturing,22250
1997-05-01,"Performing arts, spectator sports and related industries",11000
1997-05-01,"Postal service, couriers and messengers",7500
1997-05-01,Primary metal manufacturing,9250
1997-05-01,Private and trades education,2750
1997-05-01,Provincial and territorial public administration,33250
1997-05-01,Publishing industries,11500
1997-05-01,Rail transportation,6500
1997-05-01,Real estate rental and leasing,44000
1997-05-01,"Repair, personal and non-profit services",93250
1997-05-01,Ship and boat building,3750
1997-05-01,Social assistance,45500
1997-05-01,Support activities for agriculture and forestry,13250
1997-05-01,Support activities for mining and oil and gas extraction,4500
1997-05-01,Support activities for transportation,12750
1997-05-01,Telecommunications,20750
1997-05-01,"Transit, sightseeing, and pipeline transportation",1250
1997-05-01,Transportation equipment manufacturing (excluding shipbuilding),1500
1997-05-01,Truck transportation,27250
1997-05-01,Universities,20250
1997-05-01,Utilities,9750
1997-05-01,Warehousing and storage,6500
1997-05-01,Water transportation,7750
1997-05-01,Wholesale trade,72000
1997-05-01,Wood product manufacturing,51500
1997-06-01,Accommodation services,40250
1997-06-01,Air transportation,14000
1997-06-01,Ambulatory health care services,47500
1997-06-01,"Amusement, gambling and recreation industries",24500
1997-06-01,"Architectural, engineering and related services",25750
1997-06-01,"Broadcasting, data processing, and information",5500
1997-06-01,"Business, building and other support services",63750
1997-06-01,Community colleges,12250
1997-06-01,Computer systems design and related services,15250
1997-06-01,Construction,124500
1997-06-01,Elementary and secondary schools,77250
1997-06-01,Fabricated metal product manufacturing,11000
1997-06-01,Farms,17250
1997-06-01,Federal government public administration,34250
1997-06-01,Finance,46000
1997-06-01,"Fishing, hunting and trapping",8250
1997-06-01,Food services and drinking places,113250
1997-06-01,"Food, beverage and tobacco manufacturing",3750
1997-06-01,Forestry and logging,18500
1997-06-01,Health and personal care stores,17500
1997-06-01,Heritage institutions,3750
1997-06-01,Hospitals,72750
1997-06-01,Insurance carriers and related activities,27000
1997-06-01,"Legal, accounting, design, research, and advertising services",18250
1997-06-01,Local and Indigenous public administration,750
1997-06-01,Machinery manufacturing,8750
1997-06-01,"Management, scientific and technical consulting services",15000
1997-06-01,Mining,10000
1997-06-01,Motion picture and sound recording industries,10250
1997-06-01,Motor vehicle and parts dealers,27250
1997-06-01,Nursing and residential care facilities,31500
1997-06-01,Oil and gas extraction,1750
1997-06-01,Other manufacturing,3000
1997-06-01,Other retail trade (excluding cars and personal care) ,14000
1997-06-01,Paper manufacturing,22250
1997-06-01,"Performing arts, spectator sports and related industries",11750
1997-06-01,"Postal service, couriers and messengers",7750
1997-06-01,Primary metal manufacturing,9000
1997-06-01,Private and trades education,2750
1997-06-01,Provincial and territorial public administration,31750
1997-06-01,Publishing industries,10500
1997-06-01,Rail transportation,6500
1997-06-01,Real estate rental and leasing,39500
1997-06-01,"Repair, personal and non-profit services",93500
1997-06-01,Ship and boat building,5750
1997-06-01,Social assistance,45250
1997-06-01,Support activities for agriculture and forestry,12750
1997-06-01,Support activities for mining and oil and gas extraction,6000
1997-06-01,Support activities for transportation,12500
1997-06-01,Telecommunications,22000
1997-06-01,"Transit, sightseeing, and pipeline transportation",1500
1997-06-01,Transportation equipment manufacturing (excluding shipbuilding),750
1997-06-01,Truck transportation,29750
1997-06-01,Universities,19250
1997-06-01,Utilities,9250
1997-06-01,Warehousing and storage,8500
1997-06-01,Water transportation,5500
1997-06-01,Wholesale trade,71500
1997-06-01,Wood product manufacturing,50000
1997-07-01,Accommodation services,38500
1997-07-01,Air transportation,14000
1997-07-01,Ambulatory health care services,49750
1997-07-01,"Amusement, gambling and recreation industries",23750
1997-07-01,"Architectural, engineering and related services",29250
1997-07-01,"Broadcasting, data processing, and information",6250
1997-07-01,"Business, building and other support services",62000
1997-07-01,Community colleges,13250
1997-07-01,Computer systems design and related services,12500
1997-07-01,Construction,128500
1997-07-01,Elementary and secondary schools,61500
1997-07-01,Fabricated metal product manufacturing,9750
1997-07-01,Farms,17500
1997-07-01,Federal government public administration,37750
1997-07-01,Finance,45500
1997-07-01,"Fishing, hunting and trapping",8750
1997-07-01,Food services and drinking places,118250
1997-07-01,"Food, beverage and tobacco manufacturing",5250
1997-07-01,Forestry and logging,21750
1997-07-01,Health and personal care stores,16250
1997-07-01,Heritage institutions,3750
1997-07-01,Hospitals,70000
1997-07-01,Insurance carriers and related activities,28000
1997-07-01,"Legal, accounting, design, research, and advertising services",18250
1997-07-01,Local and Indigenous public administration,500
1997-07-01,Machinery manufacturing,9250
1997-07-01,"Management, scientific and technical consulting services",14000
1997-07-01,Mining,9500
1997-07-01,Motion picture and sound recording industries,9750
1997-07-01,Motor vehicle and parts dealers,25250
1997-07-01,Nursing and residential care facilities,33500
1997-07-01,Oil and gas extraction,1750
1997-07-01,Other manufacturing,5000
1997-07-01,Other retail trade (excluding cars and personal care) ,14750
1997-07-01,Paper manufacturing,24750
1997-07-01,"Performing arts, spectator sports and related industries",15500
1997-07-01,"Postal service, couriers and messengers",7750
1997-07-01,Primary metal manufacturing,7500
1997-07-01,Private and trades education,3250
1997-07-01,Provincial and territorial public administration,30750
1997-07-01,Publishing industries,10500
1997-07-01,Rail transportation,8000
1997-07-01,Real estate rental and leasing,44250
1997-07-01,"Repair, personal and non-profit services",91000
1997-07-01,Ship and boat building,5500
1997-07-01,Social assistance,45000
1997-07-01,Support activities for agriculture and forestry,13500
1997-07-01,Support activities for mining and oil and gas extraction,6250
1997-07-01,Support activities for transportation,14750
1997-07-01,Telecommunications,21250
1997-07-01,"Transit, sightseeing, and pipeline transportation",1250
1997-07-01,Transportation equipment manufacturing (excluding shipbuilding),1000
1997-07-01,Truck transportation,29500
1997-07-01,Universities,19000
1997-07-01,Utilities,10500
1997-07-01,Warehousing and storage,7000
1997-07-01,Water transportation,6750
1997-07-01,Wholesale trade,71250
1997-07-01,Wood product manufacturing,46000
1997-08-01,Accommodation services,36250
1997-08-01,Air transportation,16250
1997-08-01,Ambulatory health care services,51500
1997-08-01,"Amusement, gambling and recreation industries",27000
1997-08-01,"Architectural, engineering and related services",27500
1997-08-01,"Broadcasting, data processing, and information",5000
1997-08-01,"Business, building and other support services",61250
1997-08-01,Community colleges,13500
1997-08-01,Computer systems design and related services,16250
1997-08-01,Construction,128250
1997-08-01,Elementary and secondary schools,60750
1997-08-01,Fabricated metal product manufacturing,11250
1997-08-01,Farms,14500
1997-08-01,Federal government public administration,38000
1997-08-01,Finance,44000
1997-08-01,"Fishing, hunting and trapping",8250
1997-08-01,Food services and drinking places,119500
1997-08-01,"Food, beverage and tobacco manufacturing",4000
1997-08-01,Forestry and logging,21000
1997-08-01,Health and personal care stores,16250
1997-08-01,Heritage institutions,5250
1997-08-01,Hospitals,72000
1997-08-01,Insurance carriers and related activities,27250
1997-08-01,"Legal, accounting, design, research, and advertising services",20250
1997-08-01,Local and Indigenous public administration,750
1997-08-01,Machinery manufacturing,9000
1997-08-01,"Management, scientific and technical consulting services",16000
1997-08-01,Mining,10250
1997-08-01,Motion picture and sound recording industries,6750
1997-08-01,Motor vehicle and parts dealers,25750
1997-08-01,Nursing and residential care facilities,33750
1997-08-01,Oil and gas extraction,2000
1997-08-01,Other manufacturing,6500
1997-08-01,Other retail trade (excluding cars and personal care) ,18750
1997-08-01,Paper manufacturing,24500
1997-08-01,"Performing arts, spectator sports and related industries",16500
1997-08-01,"Postal service, couriers and messengers",11500
1997-08-01,Primary metal manufacturing,8250
1997-08-01,Private and trades education,3000
1997-08-01,Provincial and territorial public administration,30000
1997-08-01,Publishing industries,11500
1997-08-01,Rail transportation,10000
1997-08-01,Real estate rental and leasing,43750
1997-08-01,"Repair, personal and non-profit services",91000
1997-08-01,Ship and boat building,5500
1997-08-01,Social assistance,44000
1997-08-01,Support activities for agriculture and forestry,14500
1997-08-01,Support activities for mining and oil and gas extraction,5750
1997-08-01,Support activities for transportation,14250
1997-08-01,Telecommunications,22750
1997-08-01,"Transit, sightseeing, and pipeline transportation",1000
1997-08-01,Transportation equipment manufacturing (excluding shipbuilding),750
1997-08-01,Truck transportation,24000
1997-08-01,Universities,21000
1997-08-01,Utilities,11250
1997-08-01,Warehousing and storage,6750
1997-08-01,Water transportation,7500
1997-08-01,Wholesale trade,71250
1997-08-01,Wood product manufacturing,47250
1997-09-01,Accommodation services,31500
1997-09-01,Air transportation,16750
1997-09-01,Ambulatory health care services,51750
1997-09-01,"Amusement, gambling and recreation industries",19750
1997-09-01,"Architectural, engineering and related services",27500
1997-09-01,"Broadcasting, data processing, and information",5500
1997-09-01,"Business, building and other support services",65500
1997-09-01,Community colleges,14750
1997-09-01,Computer systems design and related services,16000
1997-09-01,Construction,127500
1997-09-01,Elementary and secondary schools,69500
1997-09-01,Fabricated metal product manufacturing,11750
1997-09-01,Farms,14750
1997-09-01,Federal government public administration,36750
1997-09-01,Finance,44750
1997-09-01,"Fishing, hunting and trapping",6250
1997-09-01,Food services and drinking places,113500
1997-09-01,"Food, beverage and tobacco manufacturing",2500
1997-09-01,Forestry and logging,22000
1997-09-01,Health and personal care stores,19250
1997-09-01,Heritage institutions,2250
1997-09-01,Hospitals,68500
1997-09-01,Insurance carriers and related activities,26750
1997-09-01,"Legal, accounting, design, research, and advertising services",19250
1997-09-01,Local and Indigenous public administration,250
1997-09-01,Machinery manufacturing,9000
1997-09-01,"Management, scientific and technical consulting services",17000
1997-09-01,Mining,12000
1997-09-01,Motion picture and sound recording industries,6000
1997-09-01,Motor vehicle and parts dealers,23500
1997-09-01,Nursing and residential care facilities,32500
1997-09-01,Oil and gas extraction,2000
1997-09-01,Other manufacturing,6000
1997-09-01,Other retail trade (excluding cars and personal care) ,16250
1997-09-01,Paper manufacturing,24500
1997-09-01,"Performing arts, spectator sports and related industries",15750
1997-09-01,"Postal service, couriers and messengers",10750
1997-09-01,Primary metal manufacturing,9500
1997-09-01,Private and trades education,5750
1997-09-01,Provincial and territorial public administration,27000
1997-09-01,Publishing industries,13750
1997-09-01,Rail transportation,9000
1997-09-01,Real estate rental and leasing,39000
1997-09-01,"Repair, personal and non-profit services",87000
1997-09-01,Ship and boat building,4500
1997-09-01,Social assistance,41250
1997-09-01,Support activities for agriculture and forestry,14000
1997-09-01,Support activities for mining and oil and gas extraction,5000
1997-09-01,Support activities for transportation,13500
1997-09-01,Telecommunications,26250
1997-09-01,"Transit, sightseeing, and pipeline transportation",1000
1997-09-01,Transportation equipment manufacturing (excluding shipbuilding),750
1997-09-01,Truck transportation,26000
1997-09-01,Universities,18000
1997-09-01,Utilities,10000
1997-09-01,Warehousing and storage,4750
1997-09-01,Water transportation,5750
1997-09-01,Wholesale trade,77500
1997-09-01,Wood product manufacturing,42500
1997-10-01,Accommodation services,34000
1997-10-01,Air transportation,16750
1997-10-01,Ambulatory health care services,47500
1997-10-01,"Amusement, gambling and recreation industries",17250
1997-10-01,"Architectural, engineering and related services",27750
1997-10-01,"Broadcasting, data processing, and information",4750
1997-10-01,"Business, building and other support services",64500
1997-10-01,Community colleges,14000
1997-10-01,Computer systems design and related services,17000
1997-10-01,Construction,126250
1997-10-01,Elementary and secondary schools,69750
1997-10-01,Fabricated metal product manufacturing,10750
1997-10-01,Farms,14750
1997-10-01,Federal government public administration,33750
1997-10-01,Finance,46500
1997-10-01,"Fishing, hunting and trapping",5250
1997-10-01,Food services and drinking places,110500
1997-10-01,"Food, beverage and tobacco manufacturing",1500
1997-10-01,Forestry and logging,20750
1997-10-01,Health and personal care stores,15750
1997-10-01,Heritage institutions,1000
1997-10-01,Hospitals,65250
1997-10-01,Insurance carriers and related activities,26000
1997-10-01,"Legal, accounting, design, research, and advertising services",19500
1997-10-01,Local and Indigenous public administration,1250
1997-10-01,Machinery manufacturing,10750
1997-10-01,"Management, scientific and technical consulting services",18000
1997-10-01,Mining,10750
1997-10-01,Motion picture and sound recording industries,5250
1997-10-01,Motor vehicle and parts dealers,21500
1997-10-01,Nursing and residential care facilities,31500
1997-10-01,Oil and gas extraction,1500
1997-10-01,Other manufacturing,7500
1997-10-01,Other retail trade (excluding cars and personal care) ,14750
1997-10-01,Paper manufacturing,26250
1997-10-01,"Performing arts, spectator sports and related industries",16500
1997-10-01,"Postal service, couriers and messengers",12250
1997-10-01,Primary metal manufacturing,6750
1997-10-01,Private and trades education,5750
1997-10-01,Provincial and territorial public administration,27250
1997-10-01,Publishing industries,13750
1997-10-01,Rail transportation,7750
1997-10-01,Real estate rental and leasing,38750
1997-10-01,"Repair, personal and non-profit services",86750
1997-10-01,Ship and boat building,4500
1997-10-01,Social assistance,49000
1997-10-01,Support activities for agriculture and forestry,14000
1997-10-01,Support activities for mining and oil and gas extraction,4750
1997-10-01,Support activities for transportation,10750
1997-10-01,Telecommunications,27250
1997-10-01,"Transit, sightseeing, and pipeline transportation",1000
1997-10-01,Transportation equipment manufacturing (excluding shipbuilding),750
1997-10-01,Truck transportation,25000
1997-10-01,Universities,20250
1997-10-01,Utilities,10000
1997-10-01,Warehousing and storage,3250
1997-10-01,Water transportation,6500
1997-10-01,Wholesale trade,79750
1997-10-01,Wood product manufacturing,43750
1997-11-01,Accommodation services,30250
1997-11-01,Air transportation,15250
1997-11-01,Ambulatory health care services,45750
1997-11-01,"Amusement, gambling and recreation industries",14000
1997-11-01,"Architectural, engineering and related services",27250
1997-11-01,"Broadcasting, data processing, and information",4750
1997-11-01,"Business, building and other support services",61250
1997-11-01,Community colleges,11500
1997-11-01,Computer systems design and related services,17000
1997-11-01,Construction,127000
1997-11-01,Elementary and secondary schools,72000
1997-11-01,Fabricated metal product manufacturing,10250
1997-11-01,Farms,16000
1997-11-01,Federal government public administration,28750
1997-11-01,Finance,42000
1997-11-01,"Fishing, hunting and trapping",2500
1997-11-01,Food services and drinking places,110750
1997-11-01,"Food, beverage and tobacco manufacturing",1250
1997-11-01,Forestry and logging,22000
1997-11-01,Health and personal care stores,17250
1997-11-01,Heritage institutions,1000
1997-11-01,Hospitals,64000
1997-11-01,Insurance carriers and related activities,29000
1997-11-01,"Legal, accounting, design, research, and advertising services",21500
1997-11-01,Local and Indigenous public administration,250
1997-11-01,Machinery manufacturing,11500
1997-11-01,"Management, scientific and technical consulting services",14250
1997-11-01,Mining,10000
1997-11-01,Motion picture and sound recording industries,4750
1997-11-01,Motor vehicle and parts dealers,20000
1997-11-01,Nursing and residential care facilities,33000
1997-11-01,Oil and gas extraction,1750
1997-11-01,Other manufacturing,6000
1997-11-01,Other retail trade (excluding cars and personal care) ,15250
1997-11-01,Paper manufacturing,26500
1997-11-01,"Performing arts, spectator sports and related industries",17250
1997-11-01,"Postal service, couriers and messengers",11750
1997-11-01,Primary metal manufacturing,7250
1997-11-01,Private and trades education,4500
1997-11-01,Provincial and territorial public administration,26500
1997-11-01,Publishing industries,15000
1997-11-01,Rail transportation,9000
1997-11-01,Real estate rental and leasing,38500
1997-11-01,"Repair, personal and non-profit services",91000
1997-11-01,Ship and boat building,5500
1997-11-01,Social assistance,53250
1997-11-01,Support activities for agriculture and forestry,15000
1997-11-01,Support activities for mining and oil and gas extraction,4750
1997-11-01,Support activities for transportation,11750
1997-11-01,Telecommunications,29250
1997-11-01,"Transit, sightseeing, and pipeline transportation",750
1997-11-01,Transportation equipment manufacturing (excluding shipbuilding),1000
1997-11-01,Truck transportation,27500
1997-11-01,Universities,21500
1997-11-01,Utilities,10500
1997-11-01,Warehousing and storage,3750
1997-11-01,Water transportation,6250
1997-11-01,Wholesale trade,77000
1997-11-01,Wood product manufacturing,39750
1997-12-01,Accommodation services,30750
1997-12-01,Air transportation,17000
1997-12-01,Ambulatory health care services,49250
1997-12-01,"Amusement, gambling and recreation industries",16250
1997-12-01,"Architectural, engineering and related services",24000
1997-12-01,"Broadcasting, data processing, and information",4750
1997-12-01,"Business, building and other support services",59500
1997-12-01,Community colleges,11000
1997-12-01,Computer systems design and related services,18000
1997-12-01,Construction,123750
1997-12-01,Elementary and secondary schools,72500
1997-12-01,Fabricated metal product manufacturing,9000
1997-12-01,Farms,16750
1997-12-01,Federal government public administration,28750
1997-12-01,Finance,42250
1997-12-01,"Fishing, hunting and trapping",2250
1997-12-01,Food services and drinking places,112750
1997-12-01,"Food, beverage and tobacco manufacturing",2000
1997-12-01,Forestry and logging,23750
1997-12-01,Health and personal care stores,16750
1997-12-01,Heritage institutions,750
1997-12-01,Hospitals,62750
1997-12-01,Insurance carriers and related activities,28750
1997-12-01,"Legal, accounting, design, research, and advertising services",18000
1997-12-01,Local and Indigenous public administration,750
1997-12-01,Machinery manufacturing,8750
1997-12-01,"Management, scientific and technical consulting services",18500
1997-12-01,Mining,9000
1997-12-01,Motion picture and sound recording industries,6000
1997-12-01,Motor vehicle and parts dealers,22250
1997-12-01,Nursing and residential care facilities,32250
1997-12-01,Oil and gas extraction,1750
1997-12-01,Other manufacturing,5750
